PEF,SP,CAL,GR,LITHOLOGY
3.31457567,-25.482812,8.01280021,108.598747,Sandstone
3.32188129,-25.099512,8.01167392,105.200408,Shale
3.33195304,-24.582386,8.00957298,103.062431,Shale
3.35588026,-24.069787,8.00750637,103.071998,Shale
3.48044967,-23.741119,8.005373,102.57183,Sandstone
3.57992839,-24.161216,8.00332832,100.517181,Sandstone
3.47346234,-24.711137,8.00162982,96.0004196,Shale
3.00663208,-29.250572,8.09122085,92.3224029,Shale
3.00879883,-29.01222,8.32294845,93.4581832,Shale
3.02376461,-28.748281,8.59981918,97.4046173,Shale
3.0696938,-28.612998,8.66205978,100.898826,Shale
3.11779117,-28.653293,8.67470836,102.61264,Shale
3.21930742,-28.986755,8.67242527,103.802314,Shale
3.39296102,-29.529462,8.67185974,104.798973,Shale
3.44675445,-30.060432,8.68245506,103.883224,Shale
3.42658734,-30.086599,8.68740081,98.5374679,Sand
3.40265154,-29.95825,8.68951988,92.9447326,Sand
3.36693286,-29.921524,8.68706703,87.0709838,Sand
3.3274033,-29.89505,8.68295192,81.7181549,Shale
3.22741508,-30.011978,8.67890167,80.2828521,Shale
3.11027479,-29.81459,8.68247032,84.7178268,Shale
3.05434966,-29.192064,8.67908287,89.8905944,Shale
3.03237938,-29.448781,8.67799949,91.8518295,Shale
3.04066181,-30.549468,8.67845821,92.0608596,Shale
3.04839825,-30.985099,8.67891407,90.7294921,Shale
3.0479381,-31.157968,8.67927169,87.7263183,Shale
3.04572844,-31.242816,8.67972946,84.2753295,Shale
3.04610705,-31.693384,8.68018627,84.3997497,Shale
3.04922604,-31.829055,8.68056201,83.4829635,Shale
3.05878233,-31.508668,8.6810007,83.9003524,Shale
3.13034343,-30.825601,8.68145751,86.5512008,Shale
3.29837918,-30.206098,8.68206882,91.6745834,Shale
3.43240666,-30.321056,8.68522739,96.9168243,Sand
3.40783476,-30.385721,8.69068336,100.387351,Sand
3.4240179,-29.847469,8.68144798,100.881935,Sand
3.48931121,-29.136501,8.68949508,96.0936584,Sand
3.51598501,-28.61663,8.6946907,89.9209594,Shale
3.37236905,-28.130151,8.69146442,86.028305,Shale
3.16251683,-27.736225,8.69153785,84.0852432,Shale
3.03910923,-27.797677,8.68083572,83.338768,Shale
2.99093031,-27.070333,8.67544746,83.9712905,Shale
2.94593906,-26.537096,8.68023681,83.1007919,Shale
2.95929932,-27.367446,8.67975521,81.5232238,Shale
2.92973351,-28.511327,8.67922973,80.2298812,Shale
2.90649843,-28.965763,8.67790889,80.1003494,Shale
2.90148806,-28.859119,8.67065906,80.420845,Shale
2.88779854,-28.623634,8.69124603,81.1004333,Shale
2.8439536,-28.456396,8.71937561,80.4080581,Shale
2.78508281,-28.496934,8.74915695,78.5134963,Shale
2.75515627,-28.657611,8.77817821,76.3035812,Shale
2.74870157,-28.82637,8.78054523,71.9464263,Shale
2.75650191,-28.896984,8.78227519,69.8207931,Shale
2.84361863,-28.362318,8.82909774,69.756195,Shale
2.94240951,-27.884073,8.87610435,69.2412948,Shale
3.01752305,-27.707044,8.88706874,70.2286453,Shale
3.01285386,-27.764848,8.88879585,72.8990554,Shale
2.99065542,-27.991308,8.89711189,75.2455825,Shale
2.96855711,-28.22159,8.90127754,80.7939834,Shale
2.95056962,-28.451967,8.90145492,89.6390228,Shale
3.07337951,-28.642194,8.90197086,96.72052,Shale
3.3284471,-28.657463,8.86421012,101.190048,Shale
3.48365879,-29.004394,8.8469696,102.562759,Shale
3.62147641,-29.304328,8.8476448,99.1642227,Shale
3.68124246,-29.432004,8.83415794,93.4513549,Shale
3.67099595,-29.55965,8.80764198,90.1419067,Shale
3.52265048,-29.756912,8.77688026,88.8011016,Shale
